Year,Age
2007.0,29.326801326303837
2007.0,24.0
2006.0,33.0
2006.0,17.0
2006.0,29.254375667068757
2005.0,29.181950007833706
2005.0,29.181950007833706
2005.0,29.181950007833706
2004.0,34.0
2004.0,29.109524348598626
2004.0,29.109524348598626
2003.0,41.0
2003.0,40.0
2003.0,20.0
2002.0,26.0
2002.0,28.964673030128495
2002.0,52.0
2001.0,27.0
2001.0,40.0
2000.0,38.0
2000.0,17.0
1999.0,37.0
1999.0,61.0
1999.0,22.0
1998.0,21.0
1998.0,18.0
1998.0,28.674970393188232
1998.0,28.674970393188232
1997.0,51.0
1997.0,12.0
1997.0,22.0
1996.0,28.5301190747181
1996.0,28.5301190747181
1995.0,7.0
1995.0,28.45769341548302
1993.0,28.31284209701289
1993.0,28.31284209701289
1992.0,28.24041643777784
1992.0,41.0
1992.0,19.0
1991.0,14.0
1991.0,40.0
1991.0,31.0
1990.0,21.0
1989.0,24.0
1988.0,27.950713800837548
1986.0,28.0
1986.0,26.0
1985.0,27.733436823132365
1984.0,27.661011163897285
1983.0,27.588585504662234
1983.0,27.588585504662234
1983.0,22.0
1981.0,27.443734186192074
1981.0,24.0
1981.0,27.443734186192074
1980.0,22.0
1980.0,15.0
1980.0,29.0
1979.0,36.0
1978.0,27.22645720848689
1978.0,27.22645720848689
1978.0,27.22645720848689
1977.0,17.0
1976.0,15.0
1974.0,21.0
1974.0,26.0
1973.0,26.86432891231155
1972.0,26.79190325307647
1971.0,20.0
1970.0,18.0
1970.0,26.64705193460634
1970.0,12.0
1970.0,22.0
1969.0,25.0
1969.0,21.0
1968.0,26.502200616136207
1968.0,21.0
1967.0,59.0
1967.0,32.0
1966.0,25.0
1965.0,26.284923638430996
1965.0,26.284923638430996
1965.0,26.284923638430996
1964.0,28.0
1962.0,26.067646660725813
1962.0,16.0
1962.0,13.0
1962.0,22.0
1961.0,19.0
1961.0,27.0
1960.0,24.0
1960.0,25.922795342255682
1960.0,25.922795342255682
1960.0,25.922795342255682
1960.0,25.922795342255682
1959.0,25.0
1958.0,42.0
1958.0,25.777944023785523
1958.0,29.0
1957.0,20.0
1957.0,15.0
1957.0,17.0
1956.0,38.0
1955.0,25.56066704608034
1955.0,32.0
1955.0,25.56066704608034
1955.0,25.56066704608034
1954.0,25.48824138684526
1954.0,23.0
1954.0,25.48824138684526
1953.0,15.0
1953.0,19.0
1953.0,25.41581572761021
1953.0,25.41581572761021
1952.0,25.34339006837513
1950.0,25.198538749904998
1949.0,17.0
1949.0,25.126113090669918
1948.0,25.053687431434867
1948.0,46.0
1947.0,24.981261772199787
1945.0,24.836410453729656
1945.0,24.836410453729656
1944.0,22.0
1943.0,24.691559135259524
1942.0,18.0
1941.0,24.546707816789393
1940.0,24.474282157554313
1939.0,9.0
1938.0,24.329430839084182
1936.0,16.0
1935.0,24.112153861379
1935.0,5.0
1934.0,24.03972820214392
1933.0,24.0
1932.0,23.89487688367379
1931.0,23.82245122443871
1931.0,23.82245122443871
1931.0,23.82245122443871
1931.0,23.82245122443871
1929.0,23.677599905968577
1926.0,23.460322928263366
1925.0,23.387897269028315
1925.0,23.387897269028315
1923.0,23.243045950558184
1923.0,23.243045950558184
1922.0,16.0
1922.0,18.0
1920.0,18.0
1919.0,13.0
1917.0,22.80849199514776
1916.0,22.73606633591271
1913.0,22.5187893582075
1913.0,22.5187893582075
1910.0,22.301512380502317
1909.0,22.229086721267237
1908.0,22.156661062032157
1907.0,22.084235402797106
1907.0,22.084235402797106
1906.0,22.011809743562026
1906.0,18.0
1905.0,23.0
1903.0,21.794532765856843
1902.0,21.722107106621763
1902.0,21.722107106621763
1900.0,21.577255788151632
1900.0,21.577255788151632
1899.0,21.504830128916552
1895.0,21.21512749197629
1892.0,20.99785051427108
1890.0,20.852999195800948
1889.0,20.780573536565896
1887.0,20.635722218095765
1882.0,20.273593921920423
1882.0,20.273593921920423
1881.0,20.201168262685343
1880.0,20.12874260345029
1878.0,22.0
1878.0,19.98389128498016
1878.0,19.98389128498016
1877.0,19.91146562574508
1877.0,15.0
1871.0,19.476911670334687
1864.0,18.969932055689213
1864.0,18.969932055689213
1864.0,18.969932055689213
1860.0,18.680229418748922
1855.0,18.31810112257361
1853.0,18.173249804103477
1970.9359277892868,26.71483712174185
1970.9359277892868,26.71483712174185
1970.9359277892868,26.71483712174185
2023.0,21.0
2023.0,18.0
2023.0,35.0
2022.0,60.0
2022.0,51.0
2022.0,30.413186214829835
2022.0,50.0
2021.0,58.0
2021.0,36.0
2021.0,7.0
2021.0,16.0
2021.0,54.0
2021.0,19.0
2020.0,61.0
2020.0,70.0
2020.0,30.268334896359704
2020.0,57.0
2020.0,23.0
2020.0,13.0
2020.0,12.0
2019.0,57.0
2019.0,11.0
2019.0,30.195909237124653
2019.0,74.0
2019.0,30.195909237124653
2018.0,30.123483577889573
2018.0,58.0
2017.0,31.0
2017.0,40.0
2017.0,30.05105791865452
2016.0,20.0
2016.0,40.0
2016.0,29.97863225941944
2016.0,52.0
2015.0,13.0
2015.0,40.0
2015.0,45.0
2015.0,71.0
2014.0,29.83378094094931
2014.0,29.83378094094931
2014.0,29.83378094094931
2014.0,63.0
2014.0,25.0
2014.0,63.0
2013.0,16.0
2013.0,46.0
2013.0,43.0
2013.0,56.0
2013.0,29.76135528171423
2013.0,29.76135528171423
2013.0,48.0
2012.0,62.0
2011.0,35.0
2011.0,29.6165039632441
2011.0,22.0
2011.0,86.0
2011.0,37.0
2011.0,16.0
2010.0,21.0
2010.0,29.544078304009048
2010.0,20.0
2010.0,59.0
2010.0,29.544078304009048
2009.0,27.0
2009.0,24.0
2009.0,27.0
2009.0,54.0
2009.0,19.0
2009.0,29.471652644773968
2009.0,61.0
2009.0,17.0
2008.0,50.0
2008.0,40.0
2008.0,20.0
2008.0,13.0
2008.0,29.399226985538917
2007.0,29.326801326303837
2007.0,45.0
2007.0,27.0
2006.0,29.254375667068757
2006.0,27.0
2006.0,19.0
2006.0,7.0
2006.0,15.0
2006.0,29.254375667068757
2005.0,52.0
2005.0,37.0
2005.0,14.0
2005.0,20.0
2005.0,29.181950007833706
2004.0,11.0
2004.0,30.0
2004.0,28.0
2004.0,20.0
2004.0,29.109524348598626
2003.0,22.0
2003.0,12.0
2002.0,11.0
2002.0,39.0
2001.0,13.0
2001.0,19.0
2001.0,28.892247370893443
2000.0,37.0
1999.0,35.0
1999.0,22.0
1999.0,35.0
1999.0,42.0
1999.0,20.0
1998.0,21.0
1998.0,32.0
1998.0,28.674970393188232
1998.0,17.0
1998.0,40.0
1998.0,32.0
1997.0,20.0
1996.0,22.0
1995.0,28.45769341548302
1994.0,15.0
1994.0,28.38526775624797
1993.0,28.31284209701289
1993.0,28.31284209701289
1993.0,42.0
1993.0,28.31284209701289
1992.0,28.0
1992.0,45.0
1992.0,36.0
1992.0,17.0
1991.0,23.0
1991.0,28.16799077854276
1990.0,23.0
1990.0,31.0
1989.0,29.0
1989.0,31.0
1988.0,27.950713800837548
1988.0,35.0
1988.0,37.0
1987.0,27.878288141602496
1986.0,26.0
1986.0,27.805862482367417
1986.0,29.0
1985.0,34.0
1984.0,27.661011163897285
1984.0,27.661011163897285
1983.0,15.0
1983.0,16.0
1983.0,27.588585504662234
1982.0,16.0
1981.0,27.443734186192074
1981.0,27.443734186192074
1980.0,27.371308526957023
1978.0,27.22645720848689
1976.0,16.0
1975.0,33.0
1974.0,41.0
1973.0,26.86432891231155
1972.0,26.79190325307647
1971.0,17.0
1970.0,8.0
1970.0,26.64705193460634
1967.0,19.0
1967.0,23.0
1967.0,18.0
1967.0,36.0
1967.0,31.0
1966.0,39.0
1966.0,15.0
1966.0,35.0
1965.0,35.0
1965.0,26.284923638430996
1965.0,26.284923638430996
1964.0,29.0
1964.0,18.0
1963.0,18.0
1963.0,26.140072319960865
1963.0,26.140072319960865
1963.0,42.0
1962.0,16.0
1962.0,24.0
1962.0,35.0
1961.0,25.995221001490734
1961.0,16.0
1961.0,25.995221001490734
1961.0,25.995221001490734
1960.0,33.0
1960.0,25.922795342255682
1960.0,42.0
1960.0,25.922795342255682
1959.0,29.0
1959.0,25.850369683020602
1959.0,25.850369683020602
1958.0,50.0
1958.0,25.777944023785523
1956.0,25.63309270531539
1955.0,25.56066704608034
1954.0,27.0
1954.0,25.48824138684526
1953.0,25.41581572761021
1950.0,25.198538749904998
1949.0,25.126113090669918
1947.0,18.0
1946.0,28.0
1945.0,20.0
1944.0,24.763984794494604
1944.0,26.0
1944.0,24.763984794494604
1943.0,24.691559135259524
1942.0,24.619133476024444
1941.0,24.546707816789393
1941.0,24.546707816789393
1940.0,24.474282157554313
1939.0,24.401856498319262
1939.0,24.401856498319262
1938.0,24.329430839084182
1934.0,24.03972820214392
1934.0,24.03972820214392
1934.0,8.0
1933.0,23.96730254290884
1928.0,78.0
1927.0,23.532748587498446
1926.0,23.460322928263366
1922.0,18.0
1920.0,13.0
1919.0,22.95334331361792
1915.0,22.66364067667763
1914.0,22.59121501744258
1913.0,22.5187893582075
1911.0,22.373938039737368
1911.0,22.373938039737368
1911.0,22.373938039737368
1907.0,22.084235402797106
1907.0,22.084235402797106
1906.0,22.011809743562026
1905.0,16.0
1905.0,21.939384084326974
1905.0,21.939384084326974
1901.0,21.649681447386683
1899.0,21.504830128916552
1898.0,21.4324044696815
1897.0,21.35997881044642
1894.0,21.14270183274124
1893.0,21.07027617350616
1878.0,19.98389128498016
1872.0,19.549337329569738
1871.0,19.476911670334687
1868.0,19.259634692629476
1863.0,26.0
1862.0,18.825080737219082
1860.0,18.680229418748922
1858.0,18.53537810027879
1840.0,17.231716234047582
1555.0,-3.409596647946614
1970.9359277892868,26.71483712174185
1970.9359277892868,26.71483712174185
1970.9359277892868,26.71483712174185
2023.0,42.0
2023.0,30.0
2022.0,31.0
2022.0,30.413186214829835
2022.0,30.413186214829835
2022.0,22.0
2022.0,42.0
2021.0,15.0
2021.0,38.0
2021.0,57.0
2021.0,30.340760555594784
2021.0,20.0
2021.0,30.340760555594784
2020.0,59.0
2020.0,30.268334896359704
2020.0,11.0
2020.0,30.268334896359704
2020.0,26.0
2019.0,70.0
2019.0,30.195909237124653
2019.0,67.0
2019.0,12.0
2019.0,65.0
2018.0,50.0
2018.0,55.0
2018.0,14.0
2018.0,14.0
2018.0,46.0
2017.0,60.0
2017.0,30.05105791865452
2017.0,30.05105791865452
2016.0,29.0
2016.0,49.0
2016.0,35.0
2016.0,46.0
2015.0,13.0
2015.0,11.0
2015.0,19.0
2015.0,29.906206600184362
2014.0,29.83378094094931
2014.0,29.83378094094931
2014.0,29.83378094094931
2014.0,10.0
2014.0,48.0
2014.0,28.0
2013.0,20.0
2013.0,18.0
2012.0,23.0
2012.0,20.0
2012.0,25.0
2012.0,20.0
2012.0,20.0
2011.0,29.6165039632441
2011.0,29.6165039632441
2011.0,29.6165039632441
2011.0,29.0
2011.0,10.0
2011.0,37.0
2010.0,37.0
2010.0,29.0
2009.0,29.471652644773968
2009.0,31.0
2009.0,59.0
2008.0,29.399226985538917
2008.0,51.0
2008.0,44.0
2008.0,40.0
2008.0,18.0
2008.0,32.0
2008.0,39.0
2008.0,13.0
2007.0,29.326801326303837
2007.0,58.0
2007.0,36.0
2006.0,15.0
