Year,Age,Time,Type,Country,Activity,Fatal (Y/N)
1954.0,34.0,13.0,0.0,41,367,0.0
1954.0,24.0,13.0,0.0,159,313,0.0
1953.0,24.0,13.0,1.0,9,125,0.0
1952.0,24.0,13.0,0.0,158,313,0.0
1951.0,56.0,13.0,0.0,9,47,1.0
1951.0,24.0,13.0,0.0,74,97,0.0
1951.0,16.0,15.0,0.0,95,138,0.0
1950.0,17.0,13.0,0.0,9,97,0.0
1950.0,24.0,13.0,0.0,145,126,0.0
1949.0,24.0,13.0,1.0,28,16,1.0
1947.0,14.0,17.0,0.0,145,47,0.0
1946.0,15.0,13.0,0.0,9,341,0.0
1945.0,24.0,16.0,0.0,9,341,1.0
1944.0,23.0,10.0,0.0,145,324,1.0
1943.0,24.0,13.0,1.0,117,354,1.0
