Year,Age,Time,outlier,Type,Country_group,Activity_group,Fatal (Y/N)
1958.0,24.0,14.0,1,1.0,5,2,0.0
1958.0,24.0,14.0,1,0.0,5,2,0.0
1957.0,24.0,14.0,1,0.0,5,3,0.0
1957.0,30.0,14.0,1,0.0,5,2,0.0
1956.0,24.0,14.0,1,0.0,5,2,1.0
1955.0,24.0,14.0,1,1.0,5,3,0.0
1955.0,25.0,14.0,1,0.0,5,1,1.0
1954.0,24.0,22.0,1,1.0,5,2,0.0
1954.0,24.0,14.0,1,0.0,5,3,1.0
1953.0,25.0,18.0,1,0.0,5,2,0.0
1951.0,24.0,14.0,1,0.0,5,1,1.0
1949.0,18.0,16.0,1,0.0,5,1,0.0
1949.0,24.0,14.0,1,0.0,5,3,0.0
1947.0,12.0,16.0,1,0.0,5,1,1.0
1945.0,24.0,14.0,1,0.0,5,1,0.0
1944.0,19.0,14.0,1,1.0,5,1,0.0
1944.0,24.0,14.0,1,0.0,5,3,0.0
1942.0,24.0,14.0,1,1.0,5,3,1.0
1942.0,28.0,15.0,1,0.0,5,1,1.0
1938.0,24.0,15.0,1,0.0,5,1,0.0
1937.0,16.0,14.0,1,0.0,5,1,0.0
1937.0,14.0,22.0,1,0.0,0,1,1.0
1936.0,24.0,14.0,1,1.0,5,3,0.0
1936.0,24.0,14.0,1,0.0,5,3,0.0
1934.0,24.0,14.0,1,1.0,5,2,0.0
1933.0,24.0,14.0,1,0.0,0,0,0.0
1932.0,24.0,11.0,1,0.0,5,1,0.0
1930.0,24.0,6.0,-1,0.0,0,1,0.0
1930.0,24.0,14.0,1,0.0,5,1,1.0
1929.0,14.0,18.0,1,0.0,5,0,1.0
1928.0,24.0,14.0,1,0.0,5,3,0.0
1928.0,24.0,14.0,1,0.0,5,3,0.0
1927.0,24.0,14.0,1,0.0,5,1,0.0
1925.0,24.0,14.0,1,1.0,5,3,0.0
1925.0,24.0,14.0,1,0.0,0,3,0.0
1923.0,24.0,14.0,1,0.0,5,1,1.0
1923.0,24.0,14.0,1,1.0,5,3,0.0
1917.0,24.0,14.0,1,0.0,0,3,0.0
1915.0,24.0,14.0,1,0.0,5,1,0.0
1912.0,24.0,15.0,1,0.0,0,1,0.0
1911.0,24.0,9.0,1,0.0,0,0,1.0
1910.0,24.0,14.0,1,1.0,5,3,1.0
1908.0,24.0,14.0,1,0.0,0,2,0.0
1908.0,24.0,14.0,1,1.0,0,3,0.0
1907.0,24.0,14.0,1,0.0,5,2,0.0
1904.0,24.0,14.0,1,0.0,5,1,0.0
1901.0,24.0,14.0,1,0.0,5,2,0.0
1901.0,29.0,14.0,1,0.0,5,1,1.0
1900.0,24.0,14.0,1,1.0,0,3,0.0
1899.0,24.0,14.0,1,0.0,5,3,1.0
1899.0,19.0,9.0,-1,0.0,5,1,0.0
1895.0,28.0,12.0,-1,0.0,5,3,1.0
1895.0,14.0,14.0,-1,0.0,5,1,1.0
1893.0,24.0,14.0,1,0.0,5,3,1.0
1891.0,24.0,14.0,1,0.0,5,1,0.0
1883.0,24.0,14.0,1,1.0,0,3,0.0
1883.0,24.0,14.0,1,0.0,0,3,1.0
1882.0,24.0,14.0,1,0.0,0,0,0.0
1881.0,20.0,14.0,-1,0.0,5,3,1.0
1880.0,24.0,11.0,-1,0.0,5,1,1.0
1880.0,24.0,12.0,-1,0.0,5,1,1.0
1880.0,11.0,10.0,-1,0.0,5,1,1.0
